DeviceClass,ClassID,CurrentName,VID_PID,Rev,ProperName,NameSourceLink
Communication controller,0780,[Intel],8086:02a8,-,,
Serial bus controller,0C80,[Intel],8086:02ab,-,,
PCI bridge,0604,[Intel],8086:06b5,f0,,
PCI bridge,0604,[Intel],8086:06b6,f0,,
SATA controller,0106,[Intel],8086:06d3,-,,
Host bridge,0600,[Intel],8086:461c,-,,
Host bridge,0600,[Intel],8086:4648,02,,
Host bridge,0600,[Intel],8086:4649,02,,
PCI bridge,0604,[Intel],8086:4dba,01,,
PCI bridge,0604,[Intel],8086:4dbb,01,,
System peripheral,0880,[Intel],8086:4e11,-,,
Host bridge,0600,[Intel],8086:4e24,-,,
Host bridge,0600,[Intel],8086:4e28,-,,
PCI bridge,0604,[Intel],8086:4fa0,01,,
PCI bridge,0604,[Intel],8086:4fa4,-,,
PCI bridge,0604,[Intel],8086:51b8,01,,
PCI bridge,0604,[Intel],8086:51ba,01,,
PCI bridge,0604,[Intel],8086:51bd,01,,
PCI bridge,0604,[Intel],8086:51be,01,DmaSecurity AllowedBus Extension,https://driverscollection.com/Search/PCI%5CVEN_8086%26DEV_51BE
PCI bridge,0604,[Intel],8086:54b8,-,,
PCI bridge,0604,[Intel],8086:54b9,-,,
PCI bridge,0604,[Intel],8086:54ba,-,,
PCI bridge,0604,[Intel],8086:54bb,-,,
PCI bridge,0604,[Intel],8086:54be,-,,
Ethernet controller,0200,[Intel],8086:550b,20,Intel(R) Ethernet Connection (18) I219-V,https://driverscollection.com/Search/PCI%5CVEN_8086%26DEV_550B
Host bridge,0600,[Intel],8086:6400,04,,
Signal processing controller,1180,[Intel],8086:641d,04,,
Signal processing controller,1180,[Intel],8086:647d,04,,
ISA bridge,0601,[Intel],8086:7a06,11,,
PCI bridge,0604,[Intel],8086:7a34,11,,
PCI bridge,0604,[Intel],8086:7a3a,11,,
PCI bridge,0604,[Intel],8086:7a3c,11,,
Host bridge,0600,[Intel],8086:7d01,04,,
Host bridge,0600,[Intel],8086:7d14,04,,
ISA bridge,0601,[Intel],8086:7e02,20,,
ISA bridge,0601,[Intel],8086:7e02,20,,
PCI bridge,0604,[Intel],8086:7e38,20,,
PCI bridge,0604,[Intel],8086:7e3e,20,,
PCI bridge,0604,[Intel],8086:7e4d,20,,
RAM memory,0500,[Intel],8086:7e7f,20,,
PCI bridge,0604,[Intel],8086:7eca,10,,
PCI bridge,0604,[Intel],8086:7ecb,10,,
Host bridge,0600,[Intel],8086:9b71,0c,,
PCI bridge,0604,[Intel],8086:a0b8,20,,
PCI bridge,0604,[Intel],8086:a0ba,20,,
Host bridge,0600,[Intel],8086:a700,01,,
Host bridge,0600,[Intel],8086:a703,01,,
Host bridge,0600,[Intel],8086:a706,-,,
PCI bridge,0604,[Intel],8086:a70d,01,,
USB controller,0C03,[Intel],8086:a71e,-,,
PCI bridge,0604,[Intel],8086:a72f,-,,
USB controller,0C03,[Intel],8086:a73e,-,,
USB controller,0C03,[Intel],8086:a76d,-,,
PCI bridge,0604,[Intel],8086:a76e,-,,
ISA bridge,0601,[Intel],8086:a807,10,,
Network controller,0280,[Intel],8086:a840,10,,
Serial bus controller,0C80,[Intel],8086:a850,10,,
Serial bus controller,0C80,[Intel],8086:a851,10,,
Communication controller,0780,[Intel],8086:a862,10,,
Communication controller,0780,[Intel],8086:a870,10,,
RAM memory,0500,[Intel],8086:a87f,10,,
Non-Volatile memory controller,0108,[Intel],8086:f1aa,03,,
