"Host bridge","0600","Advanced Micro Devices, Inc. [AMD] Device ","1022:14e7","-","-"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD/ATI] Navi 10 XL Upstream Port of PCI Express Switch ","1002:1478","c1","-"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD/ATI] Navi 10 XL Downstream Port of PCI Express Switch ","1002:1479","-","Advanced Micro Devices, Inc. [AMD/ATI] Navi 10 XL Downstream Port of PCI Express Switch [1002:1479]"
"VGA compatible controller","0300","Advanced Micro Devices, Inc. [AMD/ATI] Navi 23 [Radeon RX 6650 XT / 6700S / 6800S] ","1002:73ef","c1","Device [1efe:652a]"
"Audio device","0403","Advanced Micro Devices, Inc. [AMD/ATI] Navi 21/23 HDMI/DP Audio Controller ","1002:ab28","-","Advanced Micro Devices, Inc. [AMD/ATI] Navi 21/23 HDMI/DP Audio Controller [1002:ab28]"
"Non-Volatile memory controller","0108","Samsung Electronics Co Ltd NVMe SSD Controller SM981/PM981/PM983 ","144d:a808","-","Samsung Electronics Co Ltd SSD 970 EVO/PRO [144d:a801]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] 600 Series Chipset PCIe Switch Upstream Port ","1022:43f4","01","ASMedia Technology Inc. Device [1b21:3328]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] 600 Series Chipset PCIe Switch Downstream Port ","1022:43f5","01","ASMedia Technology Inc. Device [1b21:3328]"
"Ethernet controller","0200","Realtek Semiconductor Co., Ltd. RTL8125 2.5GbE Controller ","10ec:8125","05","Biostar Microtech Int'l Corp Device [1565:2314]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] 600 Series Chipset USB 3.2 Controller ","1022:43f7","01","ASMedia Technology Inc. Device [1b21:1142]"
"SATA controller","0106","Advanced Micro Devices, Inc. [AMD] 600 Series Chipset SATA Controller ","1022:43f6","01","ASMedia Technology Inc. Device [1b21:1062]"
"Network controller","0280","Realtek Semiconductor Co., Ltd. RTL8852BE PCIe 802.11ax Wireless Network Controller ","10ec:b852","-","AzureWave Device [1a3b:5471] Subsystem: Biostar Microtech Int'l Corp Device [1565:170c]"
"Encryption controller","1080","Advanced Micro Devices, Inc. [AMD] Family 19h PSP/CCP ","1022:1649","-","Advanced Micro Devices, Inc. [AMD] Family 19h PSP/CCP [1022:1649]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Device ","1022:15b6","-","Biostar Microtech Int'l Corp Device [1565:370d]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Device ","1022:15b7","-","Biostar Microtech Int'l Corp Device [1565:370d]"
"Audio device","0403","Advanced Micro Devices, Inc. [AMD] Family 17h/19h HD Audio Controller ","1022:15e3","-","Biostar Microtech Int'l Corp Device [1565:825e]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Device ","1022:15b8","-","Biostar Microtech Int'l Corp Device [1565:370d]"
"Host bridge","0600","Advanced Micro Devices, Inc. [AMD] Device ","1022:14d8","-","Lenovo Device [17aa:3801]"
"IOMMU","0806","Advanced Micro Devices, Inc. [AMD] Device ","1022:14d9","-","Lenovo Device [17aa:3802]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Device ","1022:15b6","-","Lenovo Device [17aa:3828]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Device ","1022:15b7","-","Lenovo Device [17aa:3829]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Device ","1022:15b8","-","Lenovo Device [17aa:382a]"
"Host bridge","0600","Advanced Micro Devices, Inc. [AMD] Device ","1022:14d8","-","Micro-Star International Co., Ltd. [MSI] Device [1462:7d76]"
"IOMMU","0806","Advanced Micro Devices, Inc. [AMD] Device ","1022:14d9","-","Micro-Star International Co., Ltd. [MSI] Device [1462:7d76]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Device ","1022:14db","-","Micro-Star International Co., Ltd. [MSI] Device [1462:7d76]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Device ","1022:14dd","-","Device [7d76:1462]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Device ","1022:14dd","-","Device [7d76:1462] Subsystem: Micro-Star International Co., Ltd. [MSI] Device [1462:7d76]"
"ISA bridge","0601","Advanced Micro Devices, Inc. [AMD] FCH LPC Bridge ","1022:790e","51","Micro-Star International Co., Ltd. [MSI] Device [1462:7d76]"
"VGA compatible controller","0300","NVIDIA Corporation TU104 [GeForce RTX 2070 SUPER] ","10de:1e84","a1","Micro-Star International Co., Ltd. [MSI] Device [1462:c726]"
"Audio device","0403","NVIDIA Corporation TU104 HD Audio Controller ","10de:10f8","a1","Micro-Star International Co., Ltd. [MSI] Device [1462:c726]"
"USB controller","0C03","NVIDIA Corporation TU104 USB 3.1 Host Controller ","10de:1ad8","a1","Micro-Star International Co., Ltd. [MSI] Device [1462:c726]"
"Serial bus controller","0C80","NVIDIA Corporation TU104 USB Type-C UCSI Controller ","10de:1ad9","a1","Micro-Star International Co., Ltd. [MSI] Device [1462:c726]"
"Non-Volatile memory controller","0108","Sandisk Corp WD Black SN850X NVMe SSD ","15b7:5030","01","Sandisk Corp WD Black SN850X NVMe SSD [15b7:5030]"
"SATA controller","0106","ASMedia Technology Inc. ASM1061/ASM1062 Serial ATA Controller ","1b21:0612","02","ASMedia Technology Inc. Device [1b21:1060]"
"Ethernet controller","0200","Realtek Semiconductor Co., Ltd. RTL8125 2.5GbE Controller ","10ec:8125","05","Micro-Star International Co., Ltd. [MSI] Device [1462:7d76]"
"Network controller","0280","MEDIATEK Corp. MT7922 802.11ax PCI Express Wireless Network Adapter ","14c3:0616","-","MEDIATEK Corp. MT7922 802.11ax PCI Express Wireless Network Adapter [14c3:0616]"
"VGA compatible controller","0300","Advanced Micro Devices, Inc. [AMD/ATI] Granite Ridge [Radeon Graphics] ","1002:13c0","c5","Micro-Star International Co., Ltd. [MSI] Device [1462:7d76] Subsystem: Micro-Star International Co., Ltd. [MSI] Device [1462:7d76]"
"Encryption controller","1080","Advanced Micro Devices, Inc. [AMD] Family 19h PSP/CCP ","1022:1649","-","Micro-Star International Co., Ltd. [MSI] Device [1462:7d76]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Device ","1022:15b6","-","Micro-Star International Co., Ltd. [MSI] Device [1462:7d76]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Device ","1022:15b7","-","Micro-Star International Co., Ltd. [MSI] Device [1462:7d76]"
"Audio device","0403","Advanced Micro Devices, Inc. [AMD] Family 17h/19h HD Audio Controller ","1022:15e3","-","Micro-Star International Co., Ltd. [MSI] Device [1462:ed76]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Device ","1022:15b8","-","Micro-Star International Co., Ltd. [MSI] Device [1462:7d76]"
"Host bridge","0600","Advanced Micro Devices, Inc. [AMD] Device ","1022:14e8","-","Advanced Micro Devices, Inc. [AMD] Device [1022:14e8]"
"IOMMU","0806","Advanced Micro Devices, Inc. [AMD] Device ","1022:14e9","-","Advanced Micro Devices, Inc. [AMD] Device [1022:14e9]"
"Host bridge","0600","Advanced Micro Devices, Inc. [AMD] Device ","1022:14ea","-","-"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Device ","1022:14ed","-","Advanced Micro Devices, Inc. [AMD] Device [1022:1453]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Device ","1022:14ee","-","Advanced Micro Devices, Inc. [AMD] Device [1022:1453]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Family 19h USB4/Thunderbolt PCIe tunnel ","1022:14ef","-","Advanced Micro Devices, Inc. [AMD] Device [1022:1453]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Device ","1022:14eb","-","Advanced Micro Devices, Inc. [AMD] Device [1022:14eb]"
"ISA bridge","0601","Advanced Micro Devices, Inc. [AMD] FCH LPC Bridge ","1022:790e","51","Advanced Micro Devices, Inc. [AMD] FCH LPC Bridge [1022:790e]"
"Host bridge","0600","Advanced Micro Devices, Inc. [AMD] Device ","1022:14f0","-","-"
"Host bridge","0600","Advanced Micro Devices, Inc. [AMD] Device ","1022:14f1","-","-"
"Host bridge","0600","Advanced Micro Devices, Inc. [AMD] Device ","1022:14f2","-","-"
"Host bridge","0600","Advanced Micro Devices, Inc. [AMD] Device ","1022:14f3","-","-"
"Host bridge","0600","Advanced Micro Devices, Inc. [AMD] Device ","1022:14f4","-","-"
"Host bridge","0600","Advanced Micro Devices, Inc. [AMD] Device ","1022:14f5","-","-"
"Host bridge","0600","Advanced Micro Devices, Inc. [AMD] Device ","1022:14f6","-","-"
"Host bridge","0600","Advanced Micro Devices, Inc. [AMD] Device ","1022:14f7","-","-"
"Host bridge","0600","Advanced Micro Devices, Inc. [AMD] Device ","1022:14e8","-","AIstone Global Limited Device [1d05:137d]"
"IOMMU","0806","Advanced Micro Devices, Inc. [AMD] Device ","1022:14e9","-","AIstone Global Limited Device [1d05:137d]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Device ","1022:14ee","-","AIstone Global Limited Device [1d05:137d]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Family 19h USB4/Thunderbolt PCIe tunnel ","1022:14ef","-","AIstone Global Limited Device [1d05:137d]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Device ","1022:14eb","-","AIstone Global Limited Device [1d05:137d]"
"PCI bridge","0604","Advanced Micro Devices, Inc. [AMD] Device ","1022:14eb","-","AIstone Global Limited Device [1d05:137d] Subsystem: AIstone Global Limited Device [1d05:137d]"
"ISA bridge","0601","Advanced Micro Devices, Inc. [AMD] FCH LPC Bridge ","1022:790e","51","AIstone Global Limited Device [1d05:137d]"
"Ethernet controller","0200","Motorcomm Microelectronics. YT6801 Gigabit Ethernet Controller ","1f0a:6801","01","AIstone Global Limited Device [1d05:137d]"
